ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest (Ensemble),0.8491629371788496,0.9011550405389004,0.7280431432973806,0.6291611185086551,0.675,0.5800773638390394
Logistic Regression,0.8475053870379579,0.9021980844491608,0.7354368932038835,0.6051930758988016,0.6639883126369612,0.5710633939895238
Decision Tree,0.8461793469252444,0.8835127796940209,0.7314516129032258,0.6038615179760319,0.661560904449307,0.5675375433152419
kNN,0.8269517652909001,0.8595443697375764,0.6664244186046512,0.6105193075898802,0.6372480889506602,0.5247744688299801
Naive Bayes,0.787336316923587,0.8280087669468003,0.6617429837518464,0.2982689747003995,0.4111977971546581,0.33938521813504924
